Date,Open,High,Low,Close,Adj Close,Volume,Stock Name
2022-10-26,219.399994,230.600006,218.199997,224.639999,224.639999,85012500,TSLA
2022-10-27,229.770004,233.809998,222.850006,225.089996,225.089996,61638800,TSLA
2022-10-28,225.399994,228.860001,216.350006,228.520004,228.520004,69152400,TSLA
2022-10-31,226.190002,229.850006,221.940002,227.539993,227.539993,61554300,TSLA
2022-11-01,234.050003,237.399994,227.279999,227.820007,227.820007,62688800,TSLA
2022-11-02,226.039993,227.869995,214.820007,214.979996,214.979996,63070300,TSLA
2022-11-03,211.360001,221.199997,210.139999,215.309998,215.309998,56538800,TSLA
2022-11-04,222.600006,223.800003,203.080002,207.470001,207.470001,98622200,TSLA
2022-11-07,208.649994,208.899994,196.660004,197.080002,197.080002,93916500,TSLA
2022-11-08,194.020004,195.199997,186.75,191.300003,191.300003,128803400,TSLA
2022-11-09,190.779999,195.889999,177.119995,177.589996,177.589996,127062700,TSLA
2022-11-10,189.899994,191.0,180.029999,190.720001,190.720001,132703000,TSLA
2022-11-11,186.0,196.520004,182.589996,195.970001,195.970001,114403600,TSLA
2022-11-14,192.770004,195.729996,186.339996,190.949997,190.949997,92226600,TSLA
2022-11-15,195.880005,200.820007,192.059998,194.419998,194.419998,91293800,TSLA
2022-11-16,191.509995,192.570007,185.660004,186.919998,186.919998,66567600,TSLA
2022-11-17,183.960007,186.160004,180.899994,183.169998,183.169998,64336000,TSLA
2022-11-18,185.050003,185.190002,176.550003,180.190002,180.190002,76048900,TSLA
2022-11-21,175.850006,176.770004,167.539993,167.869995,167.869995,92882700,TSLA
2022-11-22,168.630005,170.919998,166.190002,169.910004,169.910004,78452300,TSLA
2022-11-23,173.570007,183.619995,172.5,183.199997,183.199997,109536700,TSLA
2022-11-25,185.059998,185.199997,180.630005,182.860001,182.860001,50672700,TSLA
2022-11-28,179.960007,188.5,179.0,182.919998,182.919998,92905200,TSLA
2022-11-29,184.990005,186.380005,178.75,180.830002,180.830002,83357100,TSLA
2022-11-30,182.429993,194.759995,180.630005,194.699997,194.699997,109186400,TSLA
2022-12-01,197.080002,198.919998,191.800003,194.699997,194.699997,80046200,TSLA
2022-12-02,191.779999,196.25,191.110001,194.860001,194.860001,73645900,TSLA
2022-12-05,189.440002,191.270004,180.550003,182.449997,182.449997,93122700,TSLA
2022-12-06,181.220001,183.649994,175.330002,179.820007,179.820007,92150800,TSLA
2022-12-07,175.029999,179.380005,172.220001,174.039993,174.039993,84213300,TSLA
2022-12-08,172.199997,175.199997,169.059998,173.440002,173.440002,97624500,TSLA
2022-12-09,173.839996,182.5,173.360001,179.050003,179.050003,104872300,TSLA
2022-12-12,176.100006,177.369995,167.520004,167.820007,167.820007,109794500,TSLA
2022-12-13,174.869995,175.050003,156.910004,160.949997,160.949997,175862700,TSLA
2022-12-14,159.25,161.619995,155.309998,156.800003,156.800003,140682300,TSLA
2022-12-15,153.440002,160.929993,153.279999,157.669998,157.669998,122334500,TSLA
2022-12-16,159.639999,160.990005,150.039993,150.229996,150.229996,139032200,TSLA
2022-12-19,154.0,155.25,145.820007,149.869995,149.869995,139390600,TSLA
2022-12-20,146.050003,148.470001,137.660004,137.800003,137.800003,159563300,TSLA
2022-12-21,139.339996,141.259995,135.889999,137.570007,137.570007,145417400,TSLA
2022-12-22,136.0,136.630005,122.260002,125.349998,125.349998,210090300,TSLA
2022-12-23,126.370003,128.619995,121.019997,123.150002,123.150002,166989700,TSLA
2022-12-27,117.5,119.669998,108.760002,109.099998,109.099998,208643400,TSLA
2022-12-28,110.349998,116.269997,108.239998,112.709999,112.709999,221070500,TSLA
2022-12-29,120.389999,123.57,117.5,121.82,121.82,221923300,TSLA
2022-12-30,119.949997,124.480003,119.75,123.18,123.18,157777300,TSLA
2023-01-03,118.470001,118.800003,104.639999,108.099998,108.099998,231402800,TSLA
2023-01-04,109.110001,114.589996,107.519997,113.639999,113.639999,180389000,TSLA
2023-01-05,110.510002,111.75,107.160004,110.339996,110.339996,157986300,TSLA
2023-01-06,103.0,114.389999,101.809998,113.059998,113.059998,220911100,TSLA
2023-01-09,118.959999,123.519997,117.110001,119.769997,119.769997,190284000,TSLA
2023-01-10,121.07,122.760002,114.919998,118.849998,118.849998,167642500,TSLA
2023-01-11,122.089996,125.949997,120.510002,123.220001,123.220001,183810800,TSLA
2023-01-12,122.559998,124.129997,117.0,123.559998,123.559998,169400900,TSLA
2023-01-13,116.550003,122.629997,115.599998,122.400002,122.400002,180714100,TSLA
2023-01-17,125.699997,131.699997,125.019997,131.490005,131.490005,186477000,TSLA
2023-01-18,136.559998,136.679993,127.010002,128.779999,128.779999,195680300,TSLA
2023-01-19,127.260002,129.990005,124.309998,127.169998,127.169998,170291900,TSLA
